Species,Site,Author,Hgt.m,CW1.m,CW2.m,Leaf.g,Stem.g,AGL.g,CA.m2
COCO,YOSE,Lutz,1.1,0.6,0.9,8.79,26.62,35.4,0.057255526
COCO,YOSE,Lutz,0.7,0.1,0.3,1.95,3.29,5.2,1.77E-04
COCO,YOSE,Lutz,0.8,0.5,0.5,3.04,9.13,12.2,0.012271846
COCO,YOSE,Lutz,1.2,0.2,1,2.1,9.21,11.3,0.007853982
COCO,YOSE,Lutz,0.7,0.8,0.1,1.37,0,1.4,0.001256637
COCO,YOSE,Lutz,0.3,0.1,0.2,1.3,0,1.3,7.85E-05
COCO,YOSE,Lutz,0.4,0.1,0.2,0.56,0,0.6,7.85E-05
COCO,YOSE,Lutz,1.5,1.2,1.3,9.26,51.13,60.4,0.477836243
COCO,YOSE,Lutz,4.1,1.2,1.4,35.28,654.68,689.9,0.554176944
COCO,YOSE,Lutz,2.5,0.4,1.2,19.17,349.32,368.5,0.045238934
COCO,YOSE,Lutz,5,2.4,2.6,50.21,715.9,766.1,7.645379882
COCO,YOSE,Lutz,4,1.9,1.2,40.7,942.55,983.2,1.020703453
COCO,YOSE,Lutz,0.3,0.2,0.1,0.78,0,0.8,7.85E-05
COCO,YOSE,Lutz,3.9,2.5,0.8,27.8,586.07,613.9,0.785398163
COCO,YOSE,Lutz,3.2,2,1.6,46.2,288.71,334.9,2.010619298
COCO,YOSE,Lutz,3.8,4.7,1.9,129.66,1233.03,1362.7,15.6578745
COCO,YOSE,Lutz,3.8,1.9,0.8,20.07,316.72,336.8,0.453645979
COCO,YOSE,Lutz,4.3,2,1.6,63.82,812.91,876.7,2.010619298
COSE,YOSE,Lutz,4.97,1.9,3.4,118.8,1845.65,1964.5,8.193980499
COSE,YOSE,Lutz,5.7,1.8,3.6,70.73,1173.34,1244.1,8.24479576
COSE,YOSE,Lutz,3.64,1.7,1.1,39.78,412.4,452.2,0.686614709
COSE,YOSE,Lutz,3.75,1.7,0.7,13.8,197.16,211,0.278050585
COSE,YOSE,Lutz,3.54,1.7,1.3,35.36,466.62,502,0.958990792
COSE,YOSE,Lutz,3.1,0.8,0.5,14.69,196.02,210.7,0.031415927
COSE,YOSE,Lutz,4.7,4,1.1,130.82,3500.65,3631.5,3.801327111
COSE,YOSE,Lutz,5.1,1.9,3.4,122.82,2738.41,2861.2,8.193980499
COSE,YOSE,Lutz,3.7,1.3,1.1,24.05,274.24,298.3,0.401515176
COSE,YOSE,Lutz,2.7,0.3,0.3,4.34,68.2,72.5,0.001590431
COSE,YOSE,Lutz,4.2,1.1,1.2,44.84,439.09,483.9,0.34211944
COSE,YOSE,Lutz,3.4,0.8,1,28.13,560.79,588.9,0.125663706
COSE,YOSE,Lutz,3,0.6,0.7,21.56,178.92,200.5,0.034636059
COSE,YOSE,Lutz,3.4,1.8,1.7,53.13,819.55,872.7,1.838538561
COSE,YOSE,Lutz,4.2,1.8,1.2,77.4,989.21,1066.6,0.916088418
COSE,YOSE,Lutz,2,0.3,0.4,4.97,50.33,55.3,0.002827433
COSE,YOSE,Lutz,4.58,2.5,2.3,78.59,2067.38,2146,6.491806694
COSE,YOSE,Lutz,3.7,2.2,1.2,75.54,1411.93,1487.5,1.36847776
COSE,YOSE,Lutz,3.07,0.6,0.4,16.89,190.39,207.3,0.011309734
COSE,YOSE,Lutz,3.1,1.6,1.1,56.26,668.42,724.7,0.608212338
COSE,YOSE,Lutz,1.6,0.15,0.25,2,16.43,18.4,2.76E-04
COSE,YOSE,Lutz,1.95,0.25,0.2,4.84,56.13,61,4.91E-04
COSE,YOSE,Lutz,4.05,1.4,1.6,82.63,701.6,784.2,0.985203456
COSE,YOSE,Lutz,3.1,1.2,1.3,24.09,325.38,349.5,0.477836243
COSE,YOSE,Lutz,1.9,0.3,0.25,7.7,94.3,102,0.001104466
COSE,YOSE,Lutz,3.7,2.1,1.9,53.91,1011.51,1065.4,3.125904325
COSE,YOSE,Lutz,4.2,1,1.4,37.69,1105.31,1143,0.3848451
COSE,YOSE,Lutz,3.5,2.3,1.8,127.18,1964.86,2092,3.36535259
COSE,YOSE,Lutz,2.5,0.75,0.5,9.47,112.61,122.1,0.027611654
COSE,YOSE,Lutz,1.7,0.7,0.6,8.39,77.9,86.3,0.034636059
COSE,YOSE,Lutz,2,0.7,0.7,2.06,26.19,28.3,0.047143525
COSE,YOSE,Lutz,1.65,0.15,0.14,7.21,72.67,79.9,8.66E-05
COSE,YOSE,Lutz,4.63,1.64,2.88,78.08,1132.87,1210.9,4.380286948
COSE,YOSE,Lutz,1.12,0.35,0.29,2.78,16.51,19.3,0.002022842
COSE,YOSE,Lutz,1.51,0.71,0.21,1.89,23.35,25.2,0.004365009
COSE,YOSE,Lutz,1.17,0.12,0.35,4.12,11.84,16,3.46E-04
COSE,YOSE,Lutz,2.7,1.27,1.2,70.27,866.05,936.3,0.456036731
COSE,YOSE,Lutz,5.5,3.4,2.1,155.41,3682.72,3838.1,10.00982105
COSE,YOSE,Lutz,2.15,0.43,0.71,4.93,53.02,58,0.018301366
COSE,YOSE,Lutz,3,0.56,1.48,11.8,173.31,185.1,0.134874353
COSE,YOSE,Lutz,5.75,1.7,2.1,48.17,1313.45,1361.6,2.502455263
LEDA,YOSE,Lutz,1.27,0.43,0.44,15.63,61.59,77.2,0.007028654
LEDA,YOSE,Lutz,1.34,0.12,0.36,10.01,49.47,59.5,3.66E-04
LEDA,YOSE,Lutz,1.08,0.3,0.36,13.99,61.35,75.3,0.002290221
LEDA,YOSE,Lutz,0.92,0.2,0.18,1.64,12.72,14.4,2.54E-04
LEDA,YOSE,Lutz,1.33,0.3,0.22,2.5,26.64,29.1,8.55E-04
LEDA,YOSE,Lutz,0.86,0.2,0.29,2.34,40.61,42.9,6.61E-04
LEDA,YOSE,Lutz,1.03,0.18,0.35,6.9,23.01,29.9,7.79E-04
LEDA,YOSE,Lutz,1.1,0.4,0.35,1.44,42.24,43.7,0.003848451
LEDA,YOSE,Lutz,1.21,0.4,0.47,4.38,34.72,39.1,0.006939778
LEDA,YOSE,Lutz,1.03,0.12,0.16,1.11,28.94,30,7.24E-05
LEDA,YOSE,Lutz,0.73,0.28,0.27,2.13,9.97,12.1,0.001122208
LEDA,YOSE,Lutz,0.61,0.21,0.24,4.6,6.53,11.1,4.99E-04
LEDA,YOSE,Lutz,1.32,0.32,0.33,2.49,68.21,70.7,0.002189564
LEDA,YOSE,Lutz,1.12,0.25,0.28,3.39,44.53,47.9,9.62E-04
LEDA,YOSE,Lutz,1.42,0.6,0.56,4.36,102.29,106.7,0.022167078
LEDA,YOSE,Lutz,1.28,0.48,0.3,5.52,38.91,44.4,0.004071504
LEDA,YOSE,Lutz,1.32,0.12,0.16,2.96,23.69,26.6,7.24E-05
LEDA,YOSE,Lutz,0.5,0.19,0.16,4.43,9.02,13.5,1.81E-04
LEDA,YOSE,Lutz,0.88,0.21,0.25,6.61,40.67,47.3,5.41E-04
LEDA,YOSE,Lutz,0.87,0.12,0.33,5.33,72.79,78.1,3.08E-04
LEDA,YOSE,Lutz,0.81,0.34,0.36,6.07,10.23,16.3,0.002941662
LEDA,YOSE,Lutz,0.74,0.12,0.15,10.07,17.25,27.3,6.36E-05
LEDA,YOSE,Lutz,0.96,0.16,0.54,13.68,33.3,47,0.001465741
LEDA,YOSE,Lutz,0.7,0.24,0.16,2.58,8.98,11.6,2.90E-04
LEDA,YOSE,Lutz,1.05,0.25,0.27,3.41,24.25,27.7,8.95E-04
LEDA,YOSE,Lutz,0.7,0.15,0.16,4.88,10.14,15,1.13E-04
LEDA,YOSE,Lutz,1.02,0.11,0.11,3.53,20.81,24.3,2.87E-05
LEDA,YOSE,Lutz,0.44,0.12,0.11,1.66,3.03,4.7,3.42E-05
LEDA,YOSE,Lutz,0.77,0.19,0.18,6.24,7.89,14.1,2.30E-04
LEDA,YOSE,Lutz,0.67,0.22,0.21,2.64,6.59,9.2,4.19E-04
LEDA,YOSE,Lutz,1.27,0.19,0.18,10.64,16.05,26.7,2.30E-04
LEDA,YOSE,Lutz,1.39,0.34,0.12,14.6,42.45,57.1,3.27E-04
LEDA,YOSE,Lutz,1.14,0.24,0.43,11.32,45.07,56.4,0.00209117
LEDA,YOSE,Lutz,1.59,0.25,0.25,9.41,64.42,73.8,7.67E-04
LEDA,YOSE,Lutz,0.3,0.15,0.13,1.39,0.63,2,7.47E-05
LEDA,YOSE,Lutz,0.47,0.34,0.17,2.93,2.2,5.1,6.56E-04
LEDA,YOSE,Lutz,0.97,0.19,0.14,28.92,69.92,98.8,1.39E-04
LEDA,YOSE,Lutz,1.43,0.41,0.43,21.59,59.36,81,0.006102876
LEDA,YOSE,Lutz,1.47,0.15,0.18,2.1,97.33,99.4,1.43E-04
LEDA,YOSE,Lutz,1.34,0.25,0.23,2.4,60.11,62.5,6.49E-04
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,5701.408451,6.980402232
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,2161.682243,4.961679635
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,3911.519199,5.292944717
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,3123.225806,2.871936918
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,3437.125749,5.112719001
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,2475.362319,3.887621926
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,4827.777778,4.786561531
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,4339.285714,5.561459144
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,12851.1883,8.747149334
CEVE,SAGEHEN,Battles,NA,NA,NA,NA,NA,2233.391608,3.035380483
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,9539.247066,6.153577236
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,16450.46327,9.148096828
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,2911.144444,1.33161024
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,13737.60454,8.042461108
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,5398.156359,5.64218778
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,21236.52934,12.01656787
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,14307.27028,6.409849611
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,2116.5,1.32386832
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,3331.174497,2.96838116
ARPA,PLUMAS,Battles,NA,NA,NA,NA,NA,6397.660187,4.843616793
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,3550.70922,4.149934254
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,914.0625,2.027843331
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,792.818182,1.191775991
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,886.99187,2.695683789
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,4723.830172,2.6037121
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,2442.807018,3.4064448
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,2990.953846,2.02547982
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,4864.73041,3.204479615
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,4234.411519,4.426596537
QUVA,PLUMAS,Battles,NA,NA,NA,NA,NA,5439.8641,3.080781473
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,1240,0.95
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,1290,0.858
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,4870,1.517
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,8510,3.447
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,2090,0.825
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,690,0.622
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,1340,0.866
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,790,0.264
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,3860,1.911
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,5290,2.112
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,1230,0.413
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,6710,2.91
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,2180,0.636
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,8980,2.91
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,9730,3.819
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,2080,0.95
NODE,BROOK,Harrington,NA,NA,NA,NA,NA,1780,0.709
